id,week,week_start_date,obj_num,flw_get,last_flw_get,height_pl,num_leaf,len_leaf,width_leaf,unit_len,dim_pipe
16,10,2020.11.12 0:00,2,7,3,32,6,12,9,15,16.86666667
16,10,2020.11.12 0:00,3,8,4,32,6,11,8,18,20
16,10,2020.11.12 0:00,4,6,3,32,12,8,6,16,19.66666667
16,11,2020.11.19 0:00,1,12,10,32,7,10,8,16,22.33333333
16,11,2020.11.19 0:00,2,7,7,34,7,11,9,20,20.86666667
16,11,2020.11.19 0:00,3,8,8,31,7,9,8,19,17.23333333
16,11,2020.11.19 0:00,4,6,6,33,13,10,8,16,26.46666667
16,12,2020.11.26 0:00,1,11,12,32,7,11,8,19,23.8
16,12,2020.11.26 0:00,2,7,7,34,7,12,10,18,21.6
16,12,2020.11.26 0:00,3,8,8,30,7,9,8,19,18.53333333
16,12,2020.11.26 0:00,4,6,6,32,14,12,9,19,24.73333333
16,13,2020.12.3 0:00,1,11,11,31,5,11,8,19,21.26666667
16,13,2020.12.3 0:00,2,7,7,34,5,12,10,18,18.8
16,13,2020.12.3 0:00,3,8,8,31,5,9,8,19,21.36666667
16,13,2020.12.3 0:00,4,7,6,33,9,10,8,20,20.5
16,14,2020.12.10 0:00,1,9,11,32,5,11,8,20,18.83333333
16,14,2020.12.10 0:00,2,6,7,34,5,12,10,19,19.43333333
16,14,2020.12.10 0:00,3,7,8,32,5,9,8,20,19.13333333
16,14,2020.12.10 0:00,4,5,7,32,9,10,8,21,17.9
16,15,2020.12.17 0:00,1,8,9,33,6,10,8,19,16.23333333
16,15,2020.12.17 0:00,2,4,6,35,8,11,9,18,18.16666667
16,15,2020.12.17 0:00,3,7,7,32,6,10,8,20,18.86666667
16,15,2020.12.17 0:00,4,3,5,32,10,10,8,22,16.76666667
16,16,2020.12.24 0:00,1,6,8,33,6,10,8,20,19.26666667
16,16,2020.12.24 0:00,2,5,4,33,8,11,9,19,16.76666667
