id,week,week_start_date,obj_num,flw_get,week_sin,week_cos,last_flw_get,height_pl,num_leaf,len_leaf,width_leaf,unit_len,dim_pipe,temp_ex_day,temp_ex_night,sr_ex_day,temp_int_day,temp_int_night,hum_int_day,hum_int_night,CO2_day,CO2_night,soil_temp_day,soil_temp_night
26,12,2020-11-25 0:00,1,6,0.23931566428755768,-0.970941817426052,7.0,31.4,6,12.1,9.4,17.0,16.39,6.14012987012987,0.200078492935636,0.8709220779220779,17.32896103896104,11.1339874411303,63.73623376623376,83.96130298273157,476.2272727272727,631.9105180533752,16.276103896103898,15.096781789638934
26,12,2020-11-25 0:00,2,9,0.23931566428755768,-0.970941817426052,10.0,30.5,8,10.0,8.4,16.0,18.56,6.14012987012987,0.200078492935636,0.8709220779220779,17.32896103896104,11.1339874411303,63.73623376623376,83.96130298273157,476.2272727272727,631.9105180533752,16.276103896103898,15.096781789638934
26,12,2020-11-25 0:00,3,9,0.23931566428755768,-0.970941817426052,10.0,32.2,9,12.2,9.0,17.0,16.45,6.14012987012987,0.200078492935636,0.8709220779220779,17.32896103896104,11.1339874411303,63.73623376623376,83.96130298273157,476.2272727272727,631.9105180533752,16.276103896103898,15.096781789638934
26,12,2020-11-25 0:00,4,9,0.23931566428755768,-0.970941817426052,10.0,40.0,8,12.5,9.1,23.1,20.77,6.14012987012987,0.200078492935636,0.8709220779220779,17.32896103896104,11.1339874411303,63.73623376623376,83.96130298273157,476.2272727272727,631.9105180533752,16.276103896103898,15.096781789638934
26,13,2020-12-02 0:00,1,6,-3.216245299353273e-16,-1.0,6.0,32.1,7,11.0,8.3,19.5,17.18,4.296103896103896,-2.9835164835164845,0.933896103896104,17.246753246753247,9.268131868131867,68.5987012987013,73.83846153846153,498.2727272727273,647.6923076923077,15.48961038961039,14.036263736263736
26,13,2020-12-02 0:00,2,4,-3.216245299353273e-16,-1.0,9.0,30.6,7,10.3,8.4,16.3,18.89,4.296103896103896,-2.9835164835164845,0.933896103896104,17.246753246753247,9.268131868131867,68.5987012987013,73.83846153846153,498.2727272727273,647.6923076923077,15.48961038961039,14.036263736263736
26,13,2020-12-02 0:00,3,9,-3.216245299353273e-16,-1.0,9.0,32.7,7,12.2,9.2,17.0,16.85,4.296103896103896,-2.9835164835164845,0.933896103896104,17.246753246753247,9.268131868131867,68.5987012987013,73.83846153846153,498.2727272727273,647.6923076923077,15.48961038961039,14.036263736263736
26,13,2020-12-02 0:00,4,8,-3.216245299353273e-16,-1.0,9.0,40.4,7,12.5,9.1,23.1,20.17,4.296103896103896,-2.9835164835164845,0.933896103896104,17.246753246753247,9.268131868131867,68.5987012987013,73.83846153846153,498.2727272727273,647.6923076923077,15.48961038961039,14.036263736263736
26,14,2020-12-09 0:00,1,4,-0.23931566428755743,-0.9709418174260521,6.0,32.2,6,11.1,8.3,19.5,18.63,2.887489177489177,-2.8074254317111462,0.8646839826839826,16.21089466089466,9.281742543171116,68.48450216450217,77.13822605965463,503.68080808080816,616.0910518053375,15.029235209235209,13.496698063840922
26,14,2020-12-09 0:00,2,4,-0.23931566428755743,-0.9709418174260521,4.0,30.6,7,10.3,8.4,16.5,19.31,2.887489177489177,-2.8074254317111462,0.8646839826839826,16.21089466089466,9.281742543171116,68.48450216450217,77.13822605965463,503.68080808080816,616.0910518053375,15.029235209235209,13.496698063840922
26,14,2020-12-09 0:00,3,7,-0.23931566428755743,-0.9709418174260521,9.0,32.7,7,12.2,9.2,17.0,17.05,2.887489177489177,-2.8074254317111462,0.8646839826839826,16.21089466089466,9.281742543171116,68.48450216450217,77.13822605965463,503.68080808080816,616.0910518053375,15.029235209235209,13.496698063840922
26,14,2020-12-09 0:00,4,7,-0.23931566428755743,-0.9709418174260521,8.0,40.4,8,10.2,7.6,19.9,20.35,2.887489177489177,-2.8074254317111462,0.8646839826839826,16.21089466089466,9.281742543171116,68.48450216450217,77.13822605965463,503.68080808080816,616.0910518053375,15.029235209235209,13.496698063840922
26,15,2020-12-16 0:00,1,2,-0.46472317204376806,-0.8854560256532101,4.0,32.2,6,11.1,8.5,19.5,18.67,-0.0501298701298703,-6.589717425431712,0.9143246753246752,15.362727272727271,7.846467817896388,69.83714285714285,72.1309262166405,512.5623376623377,669.7857142857143,13.867272727272727,11.98767660910518
26,15,2020-12-16 0:00,2,2,-0.46472317204376806,-0.8854560256532101,4.0,30.6,7,10.3,8.4,16.5,19.34,-0.0501298701298703,-6.589717425431712,0.9143246753246752,15.362727272727271,7.846467817896388,69.83714285714285,72.1309262166405,512.5623376623377,669.7857142857143,13.867272727272727,11.98767660910518
26,15,2020-12-16 0:00,3,6,-0.46472317204376806,-0.8854560256532101,7.0,32.7,7,12.2,9.2,17.0,17.76,-0.0501298701298703,-6.589717425431712,0.9143246753246752,15.362727272727271,7.846467817896388,69.83714285714285,72.1309262166405,512.5623376623377,669.7857142857143,13.867272727272727,11.98767660910518
26,15,2020-12-16 0:00,4,6,-0.46472317204376806,-0.8854560256532101,7.0,40.4,8,10.4,7.6,20.0,20.41,-0.0501298701298703,-6.589717425431712,0.9143246753246752,15.362727272727271,7.846467817896388,69.83714285714285,72.1309262166405,512.5623376623377,669.7857142857143,13.867272727272727,11.98767660910518
