도,시군,품목,작기,농가명,출하일자,총출하량,판매금액
경남,산청,딸기,1,52,2020-12-15,2.0,32000.0
경남,산청,딸기,1,52,2020-12-15,1.0,22000.0
경남,산청,딸기,1,52,2020-12-15,60.0,480000.0
경남,산청,딸기,1,52,2020-12-15,10.0,45000.0
경남,산청,딸기,1,52,2020-12-15,30.0,180000.0
경남,산청,딸기,1,52,2020-12-15,10.0,120000.0
경남,산청,딸기,1,52,2020-12-15,1.0,18000.0
경남,산청,딸기,1,52,2020-12-16,1.0,16000.0
경남,산청,딸기,1,52,2020-12-16,1.0,18000.0
경남,산청,딸기,1,52,2020-12-16,1.0,19000.0
경남,산청,딸기,1,52,2020-12-16,2.0,36000.0
경남,산청,딸기,1,52,2020-12-16,1.0,16000.0
경남,산청,딸기,1,52,2020-12-16,1.0,22000.0
경남,산청,딸기,1,52,2020-12-16,42.0,357000.0
경남,산청,딸기,1,52,2020-12-16,10.0,45000.0
경남,산청,딸기,1,52,2020-12-16,50.0,400000.0
경남,산청,딸기,1,52,2020-12-16,22.0,220000.0
경남,산청,딸기,1,52,2020-12-16,1.0,19000.0
경남,산청,딸기,1,52,2020-12-16,1.0,15000.0
경남,산청,딸기,1,52,2020-12-17,1.0,18000.0
경남,산청,딸기,1,52,2020-12-17,1.0,19000.0
경남,산청,딸기,1,52,2020-12-17,2.0,38000.0
경남,산청,딸기,1,52,2020-12-17,1.0,16000.0
경남,산청,딸기,1,52,2020-12-17,1.0,22000.0
경남,산청,딸기,1,52,2020-12-17,2.0,44000.0
경남,산청,딸기,1,52,2020-12-17,64.0,544000.0
경남,산청,딸기,1,52,2020-12-17,20.0,90000.0
경남,산청,딸기,1,52,2020-12-17,70.0,560000.0
경남,산청,딸기,1,52,2020-12-17,56.0,644000.0
경남,산청,딸기,1,52,2020-12-17,3.0,48000.0
경남,산청,딸기,1,52,2020-12-17,1.0,22000.0
경남,산청,딸기,1,52,2020-12-18,1.0,19000.0
경남,산청,딸기,1,52,2020-12-18,2.0,38000.0
경남,산청,딸기,1,52,2020-12-18,1.0,22000.0
경남,산청,딸기,1,52,2020-12-18,42.0,420000.0
경남,산청,딸기,1,52,2020-12-18,70.0,525000.0
경남,산청,딸기,1,52,2020-12-18,50.0,625000.0
경남,산청,딸기,1,52,2020-12-18,1.0,19000.0
경남,산청,딸기,1,52,2020-12-18,1.0,15000.0
