도,시군,품목,작기,농가명,출하일자,총출하량,판매금액
강원,철원,파프리카,1,005,2020-06-11,493.5,
강원,철원,파프리카,1,005,2020-06-15,1008.0,
강원,철원,파프리카,1,005,2020-06-15,1008.0,
강원,철원,파프리카,1,005,2020-06-15,357.0,
강원,철원,파프리카,1,005,2020-06-16,1008.0,
강원,철원,파프리카,1,005,2020-06-16,619.5,
강원,철원,파프리카,1,005,2020-06-18,388.5,
강원,철원,파프리카,1,005,2020-06-18,588.0,
강원,철원,파프리카,1,005,2020-06-22,1008.0,
강원,철원,파프리카,1,005,2020-06-22,1008.0,
강원,철원,파프리카,1,005,2020-06-22,378.0,
강원,철원,파프리카,1,005,2020-06-22,504.0,
강원,철원,파프리카,1,005,2020-06-23,1008.0,
강원,철원,파프리카,1,005,2020-06-23,1239.0,
강원,철원,파프리카,1,005,2020-06-25,1239.0,
강원,철원,파프리카,1,005,2020-06-25,1008.0,
강원,철원,파프리카,1,005,2020-06-25,304.5,
강원,철원,파프리카,1,005,2020-06-29,1008.0,
강원,철원,파프리카,1,005,2020-06-30,1218.0,
강원,철원,파프리카,1,005,2020-06-30,1008.0,
강원,철원,파프리카,1,005,2020-06-30,1008.0,
강원,철원,파프리카,1,005,2020-06-30,1008.0,
강원,철원,파프리카,1,005,2020-06-30,567.0,
강원,철원,파프리카,1,005,2020-07-03,850.5,
강원,철원,파프리카,1,005,2020-07-03,1008.0,
강원,철원,파프리카,1,005,2020-07-04,1008.0,
강원,철원,파프리카,1,005,2020-07-04,1197.0,
강원,철원,파프리카,1,005,2020-07-06,1092.0,
강원,철원,파프리카,1,005,2020-07-06,1155.0,
강원,철원,파프리카,1,005,2020-07-09,1008.0,
강원,철원,파프리카,1,005,2020-07-10,1123.5,
강원,철원,파프리카,1,005,2020-07-10,1008.0,
강원,철원,파프리카,1,005,2020-07-10,1008.0,
강원,철원,파프리카,1,005,2020-07-10,1260.0,
강원,철원,파프리카,1,005,2020-07-12,1008.0,
강원,철원,파프리카,1,005,2020-07-12,1008.0,
강원,철원,파프리카,1,005,2020-07-13,399.0,
강원,철원,파프리카,1,005,2020-07-13,588.0,
강원,철원,파프리카,1,005,2020-07-13,1008.0,
